url
resource_type
title
handle
keep_change_decision
target_url
seo_notes
status
"/pages/podcast-mighty-girls-keeping-girls-engaged-in-sport","page","Podcast: Mighty Girls | Keeping Girls Engaged in Sport","podcast-mighty-girls-keeping-girls-engaged-in-sport","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/trade-login","page","Trade Login","trade-login","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/mission","page","Mission","mission","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/wholesale","page","Apply for a Wholesale Account","wholesale","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/period-undies-demo-videos","page","Demo videos","period-undies-demo-videos","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/first-period-underwear-for-girls","page","First Period Underwear for Girls","first-period-underwear-for-girls","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/returns-exchanges","page","Returns & Exchanges","returns-exchanges","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/eltee-pharmacy","page","eltee-pharmacy","eltee-pharmacy","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/stock-eltee-sydney","page","stock-eltee-sydney","stock-eltee-sydney","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/period-proof-care-info","page","How to Wash Period Undies","period-proof-care-info","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/customer-portal","page","Customer Portal","customer-portal","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/our-pricing-promise-eltee-sydney","page","Our Pricing Promise","our-pricing-promise-eltee-sydney","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/tips-to-ensure-a-leak-free-wear","page","Tips to Ensure a Leak-Free Wear","tips-to-ensure-a-leak-free-wear","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/collection-bundle","page","Mix and Match","collection-bundle","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/girls-periods-pool","page","Club Pricing and Resources for Swim Coaches and  Centres","girls-periods-pool","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/quick-order-ws","page","Quick Order Form","quick-order-ws","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/faq","page","Frequently Asked Questions","faq","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/size-chart-inches","page","Size Chart (Inches)","size-chart-inches","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/size-chart-cms","page","Size Chart Eltee Sydney","size-chart-cms","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
